simulation,beta_0_hat,beta_1_hat,beta_2_hat,beta_3_hat,beta_4_hat,ci_lower_0,ci_lower_1,ci_lower_2,ci_lower_3,ci_lower_4,ci_upper_0,ci_upper_1,ci_upper_2,ci_upper_3,ci_upper_4
0,2.4275589922782483,-1.820042364537794,3.184930073291146,0.48923805932581205,-0.7232613601699613,2.3303260129546115,-1.9075102296295046,3.0874206565942237,0.39662911632345255,-0.8299317902922972,2.5173614901988848,-1.7280243707270613,3.283915258504545,0.5795566020917672,-0.6360571499415615
1,2.521836257420205,-1.7933462349342422,3.212226939213354,0.5524836974427267,-0.7162407801400041,2.435379170012154,-1.8903265457057798,3.1139893687710574,0.4534906919804302,-0.8172968611999681,2.6087460637228297,-1.7040478032877855,3.3071201227507636,0.6467786194558929,-0.6207595981097802
2,2.4732652197594627,-1.8170831221594312,3.120988926854039,0.41807367534986317,-0.690430675216715,2.3716714921496185,-1.9108570569300167,3.0367648762475867,0.3209321546954426,-0.7965992105081635,2.5621829727713665,-1.726204943295145,3.213605176169111,0.5097663018652637,-0.5864065289098697
3,2.4517479816628374,-1.7984433038752516,3.1933992581634567,0.4900837981268462,-0.7548785105904003,2.3617352624049706,-1.8899188857615543,3.1017132046092435,0.3894559768496895,-0.8465482316113021,2.537390233380118,-1.7126439456353766,3.2984288461523867,0.582263800404741,-0.6591648813094274
4,2.5458899198594294,-1.8079481488404654,3.218892645977406,0.48423922681179205,-0.7241664571097425,2.460177609892925,-1.9027089904313292,3.120673692353779,0.3869045481889385,-0.8237369038960692,2.6399920510742483,-1.7112477658638408,3.302383957115415,0.5760397120857539,-0.6251255714266055
5,2.547084534312775,-1.7842910295164036,3.1739837867695813,0.42945191057640314,-0.7510503593410282,2.4564180669569606,-1.8776232391055556,3.065954809253726,0.3353047660091328,-0.8389659213373852,2.6380115288065413,-1.6875591871993076,3.2751375453639624,0.52082427653132,-0.6525857844907491
6,2.499439395650267,-1.7975775158165288,3.178251313970944,0.4701785563571757,-0.6452847668776486,2.407433914427412,-1.8941870460633603,3.0899215667981035,0.3855154312433223,-0.7391363471868692,2.5876276328687204,-1.7007812004865446,3.2676908492809447,0.5612970461816712,-0.5638002211589618
7,2.46543382183195,-1.7326387245080928,3.1818335647389797,0.4317989092826263,-0.7571678099380813,2.3737920778615695,-1.8307180835339163,3.086684703593612,0.3428787515938815,-0.8503311998687558,2.568093673642048,-1.6419925227496854,3.2777034649048113,0.5246242224747232,-0.6569796999603688
8,2.4763434994199787,-1.8533410731721327,3.176154111009709,0.5537931904070271,-0.6921591827712855,2.3861708571930413,-1.9506312089992384,3.082755848981259,0.46477418627169326,-0.7920953509737134,2.5624016156806197,-1.7531561465568921,3.2779490833812877,0.6357375316389998,-0.5867067864593483
9,2.4564409436610606,-1.7719150524018772,3.1750340649381705,0.5216968403133101,-0.6731235246729526,2.360716873813094,-1.871496626346918,3.0850118025643725,0.42394878318575724,-0.7592172913643012,2.5374491590157966,-1.671395889936802,3.2684965322240744,0.61099121855881,-0.5692870375433348
10,2.5172234462154983,-1.784028978743922,3.1876038426825324,0.5104883920896133,-0.6871165784589209,2.424995363385162,-1.8719107144814233,3.104392203297958,0.42423511440621786,-0.7778124267152097,2.6001529459746733,-1.6941383501503047,3.2826806644437765,0.6152018345182687,-0.5926470752967646
11,2.494812495930879,-1.7888813349106445,3.1447573168963254,0.45151877161381104,-0.7138815898997878,2.3964879299450677,-1.8716052680259527,3.0448417067627496,0.35953064545444474,-0.807301998402711,2.5915771464378206,-1.6947089253368017,3.238538754534691,0.5457670612812001,-0.6169935641435274
12,2.555243662177406,-1.8153295960820954,3.3091236680644864,0.4562286639088369,-0.7282782727962722,2.460845878642764,-1.9138244043203834,3.2209962770092977,0.3611741895108315,-0.8153005850086743,2.654818912756226,-1.7349764955158613,3.4011681611959412,0.5450278379106556,-0.6364457094492602
13,2.5554491314975563,-1.8342420576768557,3.1039491590957917,0.5540725160928989,-0.5909101788406205,2.469808232196593,-1.9232572312383422,3.014173828690926,0.46832909328763406,-0.6825661440767894,2.652125462395297,-1.747914009672738,3.1897357748470903,0.6406277114856521,-0.49380175531512016
14,2.4678815302227584,-1.7289098042712552,3.209334141414527,0.4921880587766581,-0.6614275754922843,2.3755485134524075,-1.8292558204073426,3.120437144570181,0.3968051676270931,-0.7691211472127367,2.5672983310027098,-1.6378356303993904,3.311325499044495,0.5898274790632987,-0.5688092183054381
15,2.4391906741952725,-1.8375486615973071,3.1834148032570613,0.4483943601061761,-0.6982557730096014,2.343464952242132,-1.922219259258597,3.0951006611753713,0.3570883370287584,-0.7859478939380892,2.5335457566066424,-1.7383368969937854,3.2749692855565513,0.5346076819682648,-0.6051365766039057
16,2.4449714627223513,-1.8654457017933914,3.230480569133426,0.6088428476609734,-0.6899557426163793,2.3655257041475286,-1.961924234822617,3.1551057561983438,0.5210094668298683,-0.7666035070195474,2.5326718745674333,-1.7732922576783652,3.3162372867625063,0.7011084505190626,-0.59718336294887
17,2.4529804727767583,-1.8037536311006794,3.178629104006503,0.49386574420306856,-0.6561780759508322,2.3644630753601046,-1.8898405378444882,3.1002391927493234,0.39905235135157174,-0.7510163401169933,2.5372204976762487,-1.7114881053536921,3.275916455307294,0.5858026207726209,-0.5695145419423407
18,2.451002138463971,-1.8690520468061418,3.1245583279285345,0.44343277116824964,-0.6888964481336564,2.360497221274157,-1.9599212103897103,3.0363144347589497,0.35067586131128087,-0.7769964682744734,2.544911411404153,-1.7755097772207693,3.2129424240504005,0.5459206572633735,-0.6043171912965611
