simulation,beta_0_hat,beta_1_hat,beta_2_hat,beta_3_hat,beta_4_hat,ci_lower_0,ci_lower_1,ci_lower_2,ci_lower_3,ci_lower_4,ci_upper_0,ci_upper_1,ci_upper_2,ci_upper_3,ci_upper_4
0,2.4439506963265742,-1.7603428681794855,3.220713260443179,0.4627560356110941,-0.6945322575501827,2.361448038170452,-1.8384117343727242,3.131644369714482,0.3785454579402537,-0.7780205633992886,2.53268783200047,-1.6724623096653464,3.3093318144948345,0.5435330122826907,-0.6000877762442773
1,2.5729760665278065,-1.673665960418486,3.2174481121744276,0.5170427941308228,-0.7892922854716405,2.4688972298601097,-1.7711448368707448,3.114259415164404,0.3989475832789956,-0.9042021208997206,2.6712793294857535,-1.578217196355369,3.3233092877208783,0.6257272885696396,-0.6748544087261545
2,2.487692487139852,-1.8646997118396578,3.2035066654594693,0.5482471367311429,-0.729466266074264,2.405565201116338,-1.9555923388027643,3.121059482259646,0.45455793454592575,-0.80779320266559,2.5813672964228305,-1.7835761381881612,3.280460155045472,0.6334312332087539,-0.6467334594177472
3,2.53930492655422,-1.8874626683339983,3.2199011330904845,0.4654510905320993,-0.7272883385418907,2.4433952418065554,-1.9966323067030425,3.124034481033631,0.3590966789487528,-0.8396054508073001,2.6459649008662853,-1.7963968437245188,3.3249142761962642,0.5747846763034887,-0.6191752332743227
4,2.458628041643194,-1.831183739498517,3.1892661922324224,0.49840630972266686,-0.7248325794377657,2.3723800264051476,-1.922032872709639,3.108763328581295,0.4165784493874946,-0.8089856137326641,2.5432785175759802,-1.7484440626048228,3.280283646307852,0.6029942935495579,-0.6385825092008386
5,2.5558426805327557,-1.917003991069788,3.291718672762423,0.4678723002366195,-0.6572150214472916,2.466781032953351,-2.0034719167346027,3.2035515423900436,0.37460743781879496,-0.7485985349544544,2.639101016653805,-1.8307902000570946,3.375600276103384,0.550592646678291,-0.5688923985748037
6,2.5114670097785203,-1.7353255645286738,3.2062609809134286,0.4660243061305837,-0.6887864439104826,2.428549999175013,-1.8154561035183086,3.1327135198223894,0.3861865749029631,-0.7733181243101236,2.597923707914769,-1.6537399658488416,3.299176164246894,0.5423967741417802,-0.6055218841057808
7,2.609820344695538,-1.868462010433775,3.1348979694684274,0.5031578266863973,-0.6574631149755183,2.5136664803558695,-1.9561420551032132,3.0526779393332775,0.41198751831712954,-0.7511889112360792,2.6919643985945227,-1.768809735346281,3.224089792158501,0.5822224560216187,-0.564107962361426
8,2.3590223137871784,-1.780107912190812,3.220426469211907,0.5568427858957581,-0.7468985478711377,2.258580304384789,-1.8865704091878424,3.114172167091292,0.4462397808093669,-0.8487929325059402,2.4591130345437504,-1.6761924249004585,3.3087647059353293,0.6647224734561517,-0.6409147842808756
9,2.4993138838661704,-1.8579000915727337,3.3459525742211986,0.5103021933531381,-0.7014192390442657,2.3937337545898103,-1.9693591718828913,3.2368837589018655,0.41291397989690204,-0.7999442514145894,2.591417502871,-1.7549434046207442,3.4356951703029313,0.6026443829516572,-0.6083648581697659
10,2.4983785132704517,-1.797373635636631,3.18049048623692,0.5486668914824095,-0.6962837077949846,2.4164187661022405,-1.885868257201019,3.086702789834416,0.4598346222495159,-0.7829017056744392,2.588148708369987,-1.7129650235531109,3.260133532984767,0.6346376521747945,-0.6107181861838294
11,2.5127389952043755,-1.925465924007146,3.135933641014791,0.4973215183481769,-0.6686637556628727,2.4024908236358016,-2.037509763295684,3.0440141398923224,0.3832789077259298,-0.7800039824712854,2.611858767877364,-1.8191845158559117,3.2415853292231342,0.600921344325967,-0.5518938837134273
12,2.573001530309621,-1.8603725263783613,3.208287558300954,0.4572722735225405,-0.6481032075265379,2.4742534050451774,-1.9529898565239547,3.1197254951853903,0.351484360148015,-0.7466994729711717,2.672028482928759,-1.7736878143134134,3.304049084102173,0.5514061217643965,-0.5455344836262017
13,2.556114900455622,-1.7740637825586014,3.184012625604354,0.41587042148417747,-0.7651563626588525,2.436898002719996,-1.8906266725436165,3.0857433050377154,0.31097470747161565,-0.8925377728192543,2.665755869535844,-1.6566076419931652,3.300790198428089,0.5086367679544247,-0.655493991095664
14,2.455710203662169,-1.797768919878862,3.1771395829020666,0.4676478446643987,-0.7317059248051418,2.35405486140849,-1.8884496851677257,3.077636607595027,0.3693564738988452,-0.8337062016770473,2.5578632448730954,-1.7043780135898854,3.2685671587469995,0.5664109680182513,-0.6391101621883709
15,2.5608257632872045,-1.7421327015055585,3.17923380970214,0.4784345254801934,-0.7347411744595627,2.462710325819114,-1.8398352513988554,3.0788604930205627,0.38384488869881234,-0.8290307813057908,2.652120457397535,-1.6512428296752593,3.273680771578555,0.5644799717829846,-0.6378970452394793
16,2.4924045372392505,-1.8088572962176535,3.203069613421765,0.5182828357128655,-0.6884652976002538,2.4159134810451413,-1.8972068713156314,3.1189011500669985,0.4318831247301456,-0.7745919950531566,2.5779300075177023,-1.7321093186538405,3.2892960430512423,0.6047928132037791,-0.6066527822943837
17,2.4399592996434007,-1.7768832176347273,3.25066953501749,0.5355063379544379,-0.6725331589252741,2.361191006096306,-1.858758674994925,3.1507546860091558,0.45026857987265045,-0.7609451005836413,2.52747045608684,-1.6887490708408908,3.344458479935948,0.6219615534668796,-0.5838601746915182
18,2.4810366161387543,-1.8622144477470135,3.2296076611835063,0.5137665721327074,-0.7378785119371262,2.3986450088365907,-1.9503339575483538,3.1390009511896007,0.42241959779563365,-0.8197267132055192,2.573224494715848,-1.7729193809061872,3.3284580058438675,0.6098547472218004,-0.6399634292777985
19,2.4561924840171785,-1.7954608777469627,3.187004744397613,0.41930510768166174,-0.6882007763812725,2.3712419488907917,-1.8879586709199898,3.0993102713877176,0.3358355863823705,-0.7741845171391598,2.5409190636932033,-1.7125929421846942,3.2732312098880834,0.5075483743332069,-0.6153941448675141
20,2.5445565506472168,-1.8141348252227072,3.107489443254264,0.4424731867995836,-0.7087445039080617,2.435561301418906,-1.9139339532655133,3.008282421764582,0.319757767223383,-0.8349306432916345,2.660328166572134,-1.7068415769119833,3.216833483261272,0.5723111918029787,-0.5845317043922676
21,2.5686323377990012,-1.7063021028944423,3.237021184613343,0.5121348852034583,-0.7003532543833711,2.4940188253567164,-1.7870473328557281,3.154781715447705,0.4288972503581136,-0.7832145431651933,2.6577146663944173,-1.6206408494697304,3.3285541261845473,0.5996555366014005,-0.622684242585153
22,2.598199468022538,-1.8923823362974184,3.1782813041271796,0.48018435663428183,-0.7563445417718596,2.5106024508294067,-1.980221683427992,3.0956618598398045,0.38507785130235167,-0.8468575161433483,2.685443895832772,-1.7970803448102977,3.263368818347155,0.5674429435149841,-0.6696427320640836
23,2.5279103467087696,-1.793565819468242,3.094911603895679,0.5728635877561312,-0.6944884935681527,2.4490690943436175,-1.883720549394213,3.009168975062887,0.48747045704998815,-0.7708935484000535,2.6155786402348284,-1.7138713605008105,3.173668025781014,0.6512233923103627,-0.6047233610456706
24,2.626827416162974,-1.7273732754594038,3.162269770654413,0.5373505228966688,-0.7380176083477692,2.5379296314157753,-1.8198268024663797,3.0734114383133777,0.43876335487048373,-0.8271825695173715,2.717168422496618,-1.633822311279341,3.244267792987854,0.6293634005317118,-0.648997678094437
25,2.486010334963059,-1.826038986735715,3.109314064008853,0.43086585863472854,-0.7363309898916071,2.407794108108142,-1.9051621198924555,3.0279129486883476,0.3440803223675169,-0.8155729602772829,2.574328772539932,-1.7349859658471616,3.2046595207391015,0.5098025522320572,-0.6598967654785761
26,2.48793070897489,-1.8016933555874177,3.15637361977796,0.5082675800873176,-0.7685550953669993,2.38504497032244,-1.9089558819367216,3.0539235431147826,0.39578270384674674,-0.8722025478758088,2.6005094357135494,-1.6958601451122672,3.2563402445823595,0.6183308098918567,-0.6529679078317184
27,2.4948727071552157,-1.7275814572263786,3.244174343489441,0.4489600515490887,-0.7987525334147537,2.41294142811494,-1.8146873544190978,3.15856020005839,0.36094150632531424,-0.8875323931822501,2.57443007517307,-1.6458085838382523,3.3221225496694684,0.5465377097572951,-0.7157978706982354
28,2.4342468471561496,-1.8102381855385588,3.2295373519572688,0.4365864304615587,-0.7231327344742744,2.3424965321892484,-1.896560339897963,3.1373739846639825,0.3469870080291754,-0.8278375302744848,2.530427677854737,-1.7164005678367062,3.3252730502989323,0.5283158865224882,-0.6272387063579998
29,2.4263461394631975,-1.7720411121068727,3.201327575383936,0.5207635446969505,-0.6938178979056243,2.322237510493074,-1.8737173403202845,3.098620754221167,0.40508362163834394,-0.7923904416912485,2.5192891582542516,-1.673866905646823,3.307637482307989,0.6273065795726186,-0.6013927884307209
