simulation,beta_0_hat,beta_1_hat,beta_2_hat,beta_3_hat,beta_4_hat,ci_lower_0,ci_lower_1,ci_lower_2,ci_lower_3,ci_lower_4,ci_upper_0,ci_upper_1,ci_upper_2,ci_upper_3,ci_upper_4
0,2.4275589922782483,-1.8200423645377943,3.1849300732911465,0.48923805932581194,-0.7232613601699613,2.333415224847266,-1.9082585486297798,3.087380670396769,0.3980471852174667,-0.8270119440342713,2.5204507020915403,-1.728772689727336,3.2838752723070868,0.5809746709857808,-0.6331373036835362
1,2.5218362574202047,-1.7933462349342422,3.212226939213354,0.5524836974427267,-0.7162407801400041,2.433313421076635,-1.8887469744791676,3.113328856470626,0.4540972881964004,-0.8154801432003894,2.6066803147873108,-1.7024682320611704,3.306459610450335,0.6473852156718636,-0.6189428801102008
2,2.4732652197594627,-1.8170831221594308,3.1209889268540385,0.4180736753498633,-0.690430675216715,2.374359762625253,-1.9109142922088866,3.035259306528335,0.3236998589313468,-0.7984617258885608,2.564871243247003,-1.726262178574015,3.2120996064498595,0.5125340061011677,-0.5882690442902667
3,2.4517479816628374,-1.7984433038752516,3.193399258163456,0.49008379812684605,-0.7548785105904002,2.363107993317336,-1.8884783883905445,3.100293031211141,0.3898631319107004,-0.8453754029818317,2.5387629642924825,-1.7112034482643679,3.297008672754284,0.5826709554657518,-0.6579920526799574
4,2.54588991985943,-1.8079481488404656,3.218892645977405,0.4842392268117921,-0.7241664571097426,2.4598372450631945,-1.903047861223109,3.121233447364792,0.3869431131113753,-0.8234409869159449,2.6396516862445134,-1.7115866366556212,3.302943712126429,0.5760782770081909,-0.6248296544464799
5,2.5470845343127744,-1.784291029516404,3.1739837867695804,0.42945191057640303,-0.7510503593410282,2.4555144190272267,-1.878623806966264,3.0666313852196025,0.33641870149618724,-0.8393428813599034,2.637107880876807,-1.6885597550600175,3.2758141213298404,0.5219382120183749,-0.6529627445132654
6,2.4994393956502674,-1.797577515816529,3.178251313970945,0.4701785563571756,-0.6452847668776486,2.4088650880670173,-1.8930188454102943,3.087814056924993,0.38755761006854633,-0.7368330687823,2.589058806508325,-1.6996129998334775,3.265583339407831,0.5633392250068954,-0.5614969427543925
7,2.4654338218319505,-1.7326387245080928,3.1818335647389797,0.4317989092826263,-0.7571678099380814,2.372569712545571,-1.8322126936461627,3.087837048735666,0.3439632788153152,-0.8491575499194569,2.5668713083260486,-1.6434871328619314,3.2788558100468634,0.5257087496961569,-0.6558060500110685
8,2.4763434994199787,-1.8533410731721325,3.176154111009709,0.553793190407027,-0.6921591827712854,2.386470451799043,-1.950405544468773,3.0821704550084004,0.4647587575099918,-0.7910097928313258,2.5627012102866193,-1.752930482026427,3.2773636894084293,0.6357221028772982,-0.5856212283169604
9,2.45644094366106,-1.7719150524018774,3.175034064938171,0.5216968403133102,-0.6731235246729524,2.359276158808053,-1.874259419726024,3.0853544270784847,0.423672929594485,-0.7601720235742647,2.5360084440107546,-1.67415868331591,3.268839156738187,0.6107153649675378,-0.5702417697532983
