simulation,central_beta_0,central_beta_1,central_beta_2,central_beta_3,central_beta_4,local_beta_0,local_beta_1,local_beta_2,local_beta_3,local_beta_4
0,2.4275589922782483,-1.8200423645377943,3.1849300732911465,0.48923805932581194,-0.7232613601699613,2.427558992278249,-1.8200423645377946,3.1849300732911465,0.48923805932581127,-0.7232613601699623
1,2.5218362574202047,-1.7933462349342422,3.212226939213354,0.5524836974427267,-0.7162407801400041,2.5218362574202025,-1.7933462349342415,3.212226939213355,0.5524836974427264,-0.7162407801400048
2,2.4732652197594627,-1.8170831221594308,3.1209889268540385,0.4180736753498633,-0.690430675216715,2.473265219759464,-1.8170831221594324,3.1209889268540394,0.41807367534986273,-0.6904306752167138
3,2.4517479816628374,-1.7984433038752516,3.193399258163456,0.49008379812684605,-0.7548785105904002,2.4517479816628365,-1.7984433038752519,3.193399258163453,0.4900837981268467,-0.7548785105904001
4,2.54588991985943,-1.8079481488404656,3.218892645977405,0.4842392268117921,-0.7241664571097426,2.54588991985943,-1.8079481488404663,3.2188926459774048,0.48423922681179205,-0.7241664571097419
5,2.5470845343127744,-1.784291029516404,3.1739837867695804,0.42945191057640303,-0.7510503593410282,2.5470845343127775,-1.784291029516404,3.1739837867695804,0.42945191057640314,-0.7510503593410277
6,2.4994393956502674,-1.797577515816529,3.178251313970945,0.4701785563571756,-0.6452847668776486,2.499439395650266,-1.7975775158165292,3.178251313970947,0.4701785563571755,-0.645284766877649
7,2.4654338218319505,-1.7326387245080928,3.1818335647389797,0.4317989092826263,-0.7571678099380814,2.4654338218319527,-1.7326387245080914,3.1818335647389815,0.43179890928262626,-0.7571678099380824
8,2.4763434994199787,-1.8533410731721325,3.176154111009709,0.553793190407027,-0.6921591827712854,2.4763434994199804,-1.8533410731721318,3.176154111009708,0.5537931904070269,-0.6921591827712846
9,2.45644094366106,-1.7719150524018774,3.175034064938171,0.5216968403133102,-0.6731235246729524,2.45644094366106,-1.771915052401878,3.1750340649381728,0.5216968403133102,-0.6731235246729514
10,2.5172234462154983,-1.784028978743922,3.1876038426825324,0.5104883920896132,-0.6871165784589208,2.517223446215498,-1.784028978743924,3.187603842682533,0.510488392089613,-0.68711657845892
11,2.4948124959308795,-1.7888813349106447,3.1447573168963254,0.45151877161381104,-0.7138815898997877,2.4948124959308804,-1.788881334910643,3.144757316896328,0.45151877161381104,-0.7138815898997869
12,2.5552436621774066,-1.8153295960820954,3.3091236680644864,0.4562286639088369,-0.7282782727962723,2.5552436621774066,-1.8153295960820954,3.309123668064488,0.45622866390883704,-0.7282782727962733
13,2.555449131497555,-1.834242057676856,3.1039491590957917,0.5540725160928986,-0.5909101788406206,2.555449131497556,-1.8342420576768557,3.103949159095791,0.5540725160928988,-0.5909101788406205
14,2.467881530222758,-1.7289098042712554,3.209334141414526,0.492188058776658,-0.6614275754922841,2.4678815302227552,-1.7289098042712556,3.209334141414528,0.4921880587766579,-0.6614275754922839
15,2.439190674195272,-1.837548661597307,3.1834148032570617,0.4483943601061762,-0.6982557730096013,2.439190674195274,-1.8375486615973058,3.1834148032570626,0.4483943601061761,-0.698255773009601
16,2.4449714627223513,-1.8654457017933916,3.230480569133426,0.6088428476609733,-0.6899557426163792,2.444971462722352,-1.8654457017933892,3.2304805691334266,0.6088428476609733,-0.689955742616381
17,2.4529804727767592,-1.8037536311006785,3.1786291040065033,0.49386574420306856,-0.6561780759508323,2.4529804727767575,-1.8037536311006785,3.178629104006506,0.49386574420306895,-0.6561780759508326
18,2.451002138463971,-1.8690520468061425,3.1245583279285345,0.44343277116824953,-0.6888964481336564,2.4510021384639717,-1.8690520468061405,3.1245583279285354,0.4434327711682499,-0.6888964481336555
19,2.4936040599230513,-1.8004517843572538,3.201001225158148,0.5668177309969663,-0.6929427827918092,2.4936040599230513,-1.800451784357253,3.2010012251581466,0.5668177309969668,-0.6929427827918087
