simulation,central_beta_0,central_beta_1,central_beta_2,central_beta_3,central_beta_4,local_beta_0,local_beta_1,local_beta_2,local_beta_3,local_beta_4
0,2.501176907486152,-1.8336491220464335,3.042100333224745,0.46630422583359327,-0.6929722104975395,2.501176907486153,-1.8336491220464344,3.0421003332247474,0.4663042258335929,-0.6929722104975403
1,2.4032768285621726,-1.8279877282926338,3.1899487566220674,0.6163551655138909,-0.61499493037584,2.4032768285621717,-1.827987728292635,3.189948756622068,0.6163551655138912,-0.6149949303758401
2,2.5541366088000608,-1.7571874768182996,3.2973397823611905,0.4343490886227196,-0.6225000945402305,2.5541366088000617,-1.7571874768183,3.2973397823611905,0.4343490886227196,-0.6225000945402307
3,2.4033569740965244,-1.884146879933672,3.247210393692405,0.5369325173084826,-0.6025049473362821,2.403356974096523,-1.884146879933672,3.247210393692407,0.5369325173084819,-0.6025049473362825
4,2.53809449083889,-1.7846891531755513,3.1996011748971855,0.5961536556330854,-0.7894637046382714,2.53809449083889,-1.7846891531755509,3.1996011748971838,0.5961536556330858,-0.789463704638271
5,2.4861319245817555,-1.7998104393189338,3.1579336480664884,0.535882391080908,-0.7584413476106171,2.4861319245817546,-1.799810439318934,3.1579336480664875,0.5358823910809076,-0.7584413476106161
6,2.5203693357844825,-1.7159483590928275,3.2436934696040525,0.4261375837034612,-0.7362845505642881,2.520369335784482,-1.7159483590928284,3.2436934696040525,0.4261375837034614,-0.7362845505642881
7,2.503838077979591,-1.7398495613389287,3.187835987144667,0.40954438007709504,-0.694182168679087,2.5038380779795912,-1.7398495613389284,3.187835987144664,0.40954438007709515,-0.6941821686790867
8,2.558250118231526,-1.8346374616846113,3.1891327687028768,0.5637232754778599,-0.7247654985993878,2.5582501182315247,-1.8346374616846117,3.1891327687028785,0.5637232754778597,-0.7247654985993891
9,2.5464622267951635,-1.7227586207855499,3.224251418912104,0.5115054887060776,-0.7467945187721305,2.5464622267951604,-1.7227586207855494,3.2242514189121008,0.5115054887060773,-0.7467945187721299
10,2.4775579282639724,-1.8597630733348212,3.214121125966894,0.4976590014621397,-0.7363945041745416,2.477557928263971,-1.859763073334822,3.214121125966894,0.49765900146213937,-0.7363945041745402
11,2.5983539682373933,-1.7635219478111865,3.1517559445226935,0.4805863384209881,-0.7063332414707992,2.598353968237393,-1.7635219478111863,3.1517559445226904,0.4805863384209878,-0.7063332414707997
12,2.466850946589203,-1.8234890571854219,3.1253132276812607,0.4150508031791201,-0.6671322161025799,2.4668509465892026,-1.823489057185423,3.1253132276812603,0.4150508031791201,-0.66713221610258
13,2.458941535871389,-1.734851730122755,3.2527096791776158,0.4371031708626117,-0.6751627980899086,2.45894153587139,-1.7348517301227555,3.2527096791776153,0.4371031708626115,-0.675162798089909
14,2.511333979863307,-1.8287392426369629,3.3146271712756805,0.5093277053243337,-0.767655467514182,2.511333979863308,-1.8287392426369624,3.314627171275684,0.5093277053243335,-0.767655467514182
15,2.494234115869111,-1.8043593694568416,3.224070463706069,0.4818370902613895,-0.6096196992936469,2.494234115869111,-1.8043593694568405,3.224070463706068,0.48183709026138927,-0.609619699293647
16,2.540841092785507,-1.81290989818104,3.177009168735235,0.4960952363903923,-0.7234850799732365,2.540841092785508,-1.8129098981810392,3.1770091687352364,0.4960952363903925,-0.7234850799732366
17,2.527168635204603,-1.8657045107227892,3.086022671173821,0.47814677921302884,-0.6579528866788448,2.5271686352046037,-1.8657045107227876,3.0860226711738203,0.4781467792130293,-0.657952886678845
18,2.4538130432241574,-1.8761701834403692,3.2296320626169677,0.44675351721493967,-0.6907507556456457,2.453813043224157,-1.876170183440369,3.229632062616968,0.44675351721493994,-0.6907507556456446
19,2.530898394062834,-1.8807280123956571,3.2253403603985586,0.4244382509535578,-0.7652148860623196,2.530898394062834,-1.8807280123956573,3.225340360398559,0.42443825095355786,-0.7652148860623185
