simulation,bootstrap_se_0,bootstrap_se_1,bootstrap_se_2,bootstrap_se_3,bootstrap_se_4,theoretical_se_0,theoretical_se_1,theoretical_se_2,theoretical_se_3,theoretical_se_4
0,0.0439262848572074,0.04121440612573555,0.04544351554232419,0.041946737602431616,0.047354790100055257,0.04756756928282807,0.04588286806764238,0.04915543797764033,0.046631756744735874,0.048748375668611746
1,0.05200672521044998,0.04947694941603403,0.05417905987952418,0.05727308530211085,0.05803574345748859,0.04626588395143877,0.04724840625509224,0.048273126756752424,0.04987824140121563,0.04854009439078887
2,0.04313604679492302,0.043947959644532915,0.04108289517440646,0.046553777812110564,0.04297209294252321,0.04754725320900598,0.048114832093311834,0.046282970447429246,0.04884629716031719,0.0498624737695724
3,0.05412653915317748,0.05184236537001192,0.05279614295772789,0.05268274373740935,0.05627835985639237,0.046013899899548245,0.045144608210366616,0.04769066176030319,0.047235699710437305,0.04825610546863123
4,0.045555760502333044,0.046128211018278326,0.04369315767417606,0.04466043535660758,0.04488223111409764,0.0486056153292789,0.04809006041832552,0.04618930348094515,0.047347583002547766,0.04876487467969796
5,0.04340371627362201,0.043828483771991986,0.04383203076951409,0.04432347086270213,0.04607526726846314,0.04740326074308426,0.04819755978714773,0.04984030862708108,0.048326344938317736,0.04852737276866066
6,0.04220759322781115,0.04161726620720636,0.04293153467279346,0.0414149744133343,0.044889989268978275,0.04735619428266567,0.04873990597765734,0.048335462228897,0.047683584548195636,0.048894471744407496
7,0.04648493208211514,0.0480545057196907,0.04629307653312082,0.044212232489011204,0.0480226432338527,0.048843015534597675,0.04896150959073639,0.049020271461188876,0.046707493936909004,0.04779766819001502
8,0.04958144348818032,0.05422807727199838,0.04942534298209907,0.052232486421873926,0.05378881456706443,0.047476814564290835,0.048164812855104086,0.047414654939861106,0.0464240939403265,0.04869312462301048
9,0.05074020715255852,0.05471248257252093,0.04662776565188832,0.05038492521223387,0.04769480078148808,0.046385650064972805,0.04770752193973698,0.046261070761684384,0.04737452896486568,0.04664528403759623
10,0.04418666700067639,0.04621123276786476,0.04575102769741562,0.04578864945299519,0.04385446361309024,0.047302691817969277,0.049405147220130424,0.04854438052856015,0.04874616362966777,0.0461358124403656
11,0.053812612444726585,0.05492202062913844,0.050504259506017585,0.053532125998276614,0.05640392280519173,0.047600928786799494,0.04833388132967119,0.04890925453512184,0.046779329070985295,0.0500604628188824
12,0.051617404435211095,0.04675783618860769,0.049006011911636164,0.05134042591523723,0.05258426919271494,0.047374886305200654,0.04550021337319266,0.04680197301354652,0.04745360606598917,0.046782861922246795
13,0.05649959614598697,0.05628226145012998,0.05598686717573569,0.052701237158613086,0.05903104788251335,0.04912951561045624,0.04643776174590085,0.04721376013783364,0.04582481294140942,0.048048265234257544
14,0.04998693550013433,0.047664873247333574,0.05114178250815278,0.05101798019550755,0.04980219294329188,0.04696547520341584,0.047916199430193075,0.04845350247902024,0.04901664423422906,0.04904232413022915
15,0.049178212617273453,0.04809218536140098,0.04806379619791303,0.04799983449198335,0.0492516410164798,0.05020049735450057,0.04709700893426246,0.04734305933353729,0.04782693058401833,0.04741673418841346
16,0.04169295624949723,0.04382084655071804,0.04289612895882671,0.04214533623926444,0.04303954493695948,0.046496916878526674,0.047307499464264845,0.04782153845453396,0.047185615667052705,0.04754749686293254
17,0.04436531520717221,0.04260489713231211,0.04574824149528275,0.04516520584955696,0.044394235645587754,0.047501640767869974,0.04782602548103783,0.0485249393059316,0.04766730909307626,0.048527323344725676
18,0.045199066584614915,0.04700824911318225,0.04853042095101596,0.0481153011246623,0.04518985711439218,0.046885591118494975,0.0492771587071968,0.0480164825561794,0.0476245461277407,0.04586965792589738
19,0.043638883618377186,0.04616678722728553,0.043534136745510606,0.0427674527138474,0.04256115966773646,0.047467936780491764,0.0463693989568583,0.04630993874082627,0.04799477692141296,0.04592784450313655
20,0.05603642558737898,0.052673162860291826,0.05372859718659267,0.05985260355567956,0.06159114011774861,0.048624509412161794,0.04600433136826892,0.04653289422714909,0.04888452507009164,0.05127031236236024
21,0.04040281051460544,0.0423391819848646,0.043602698252354355,0.04231901092716925,0.041257296416119096,0.04719928297052818,0.048103978592769714,0.049454763905305454,0.047695037693482316,0.046930500914476585
