simulation,bootstrap_se_0,bootstrap_se_1,bootstrap_se_2,bootstrap_se_3,bootstrap_se_4,theoretical_se_0,theoretical_se_1,theoretical_se_2,theoretical_se_3,theoretical_se_4
0,0.0655156482419391,0.06504145516904054,0.07027029665972022,0.06656087812712488,0.06802547893934734,0.04756756928282807,0.04588286806764238,0.04915543797764033,0.046631756744735874,0.048748375668611746
1,0.06240150489307097,0.06540132505391133,0.065962349746479,0.06730533816004952,0.06656197340063338,0.04626588395143877,0.04724840625509224,0.048273126756752424,0.04987824140121563,0.04854009439078887
2,0.07041194235367215,0.06666269407528913,0.06550092339155622,0.06777213092710833,0.07122250991046458,0.04754725320900598,0.048114832093311834,0.046282970447429246,0.04884629716031719,0.0498624737695724
3,0.06686568678720999,0.06441321706263985,0.07040363032562959,0.07023139336709064,0.06775562139384685,0.046013899899548245,0.045144608210366616,0.04769066176030319,0.047235699710437305,0.04825610546863123
4,0.06297283732584813,0.06521881751755099,0.061763452789840176,0.06638220658937774,0.06779282740668173,0.0486056153292789,0.04809006041832552,0.04618930348094515,0.047347583002547766,0.04876487467969796
5,0.06916626296563856,0.07130872317956419,0.07586379168749562,0.06899308277513218,0.06788546633500912,0.04740326074308426,0.04819755978714773,0.04984030862708108,0.048326344938317736,0.04852737276866066
6,0.0666601565239901,0.07187647809536742,0.06844014788560804,0.06476810268607981,0.06669244904990065,0.04735619428266567,0.04873990597765734,0.048335462228897,0.047683584548195636,0.048894471744407496
7,0.07397794424909429,0.07026548747137107,0.07048592803504082,0.067787109815079,0.0701788753664335,0.048843015534597675,0.04896150959073639,0.049020271461188876,0.046707493936909004,0.04779766819001502
8,0.06739261483393959,0.07029762036762245,0.07032658484017061,0.06554205833943903,0.07352371347222955,0.047476814564290835,0.048164812855104086,0.047414654939861106,0.0464240939403265,0.04869312462301048
9,0.06825470107082032,0.0744962816440719,0.06893261150269611,0.07045828673218853,0.06474173668770035,0.046385650064972805,0.04770752193973698,0.046261070761684384,0.04737452896486568,0.04664528403759623
10,0.06448352244218529,0.07047330622575645,0.06705925993227521,0.06626798188082599,0.06819932356099591,0.047302691817969277,0.049405147220130424,0.04854438052856015,0.04874616362966777,0.0461358124403656
11,0.06921117182184379,0.06479937946596692,0.0720125988745891,0.06757775970647652,0.07260010809755549,0.047600928786799494,0.04833388132967119,0.04890925453512184,0.046779329070985295,0.0500604628188824
12,0.06960322680047515,0.0655363960764161,0.06741289608256154,0.068092807042404,0.0645857212019475,0.047374886305200654,0.04550021337319266,0.04680197301354652,0.04745360606598917,0.046782861922246795
13,0.06313342078813572,0.06245656132480303,0.0623509243890058,0.06130239275437701,0.06816561823956542,0.04912951561045624,0.04643776174590085,0.04721376013783364,0.04582481294140942,0.048048265234257544
14,0.07128007811029459,0.07246839800641254,0.07429900653899738,0.0723393636739221,0.07495317031712347,0.04696547520341584,0.047916199430193075,0.04845350247902024,0.04901664423422906,0.04904232413022915
