simulation,bootstrap_se_0,bootstrap_se_1,bootstrap_se_2,bootstrap_se_3,bootstrap_se_4,theoretical_se_0,theoretical_se_1,theoretical_se_2,theoretical_se_3,theoretical_se_4
0,0.05000363073901664,0.04765660408254075,0.05160582980353783,0.05070022392470719,0.0473539092247702,0.04756756928282807,0.04588286806764238,0.04915543797764033,0.046631756744735874,0.048748375668611746
1,0.049188254761658945,0.049616489123592955,0.050647114243623455,0.053492959621593325,0.05232388810645632,0.04626588395143877,0.04724840625509224,0.048273126756752424,0.04987824140121563,0.04854009439078887
2,0.04694006101175809,0.047956405828364926,0.047333485275534985,0.049910272234297906,0.052533682013379344,0.04754725320900598,0.048114832093311834,0.046282970447429246,0.04884629716031719,0.0498624737695724
3,0.04688696374111075,0.04488782107267015,0.04710913417803278,0.04741660351442848,0.046141002016945765,0.046013899899548245,0.045144608210366616,0.04769066176030319,0.047235699710437305,0.04825610546863123
4,0.045721048062889354,0.04913818987769646,0.04685620556508663,0.04726595302393305,0.047549732875908246,0.0486056153292789,0.04809006041832552,0.04618930348094515,0.047347583002547766,0.04876487467969796
5,0.045156411185498374,0.04499860057528979,0.048952667490673056,0.04517855740056066,0.04912579561242343,0.04740326074308426,0.04819755978714773,0.04984030862708108,0.048326344938317736,0.04852737276866066
6,0.04795166140057512,0.048722202154887255,0.05181489022610572,0.04939703519028416,0.053376044618760714,0.04735619428266567,0.04873990597765734,0.048335462228897,0.047683584548195636,0.048894471744407496
7,0.048152494545688505,0.0531344151702513,0.04631351830097468,0.04535102619334927,0.04932076627817182,0.048843015534597675,0.04896150959073639,0.049020271461188876,0.046707493936909004,0.04779766819001502
8,0.04781071493074803,0.0485327695038885,0.04687113215847999,0.0470330488052886,0.05062322127105839,0.047476814564290835,0.048164812855104086,0.047414654939861106,0.0464240939403265,0.04869312462301048
9,0.041444222910450274,0.043429948779309,0.042615634439426876,0.044296901460870314,0.04427599457436693,0.046385650064972805,0.04770752193973698,0.046261070761684384,0.04737452896486568,0.04664528403759623
10,0.051023815091304346,0.05283345391999851,0.05143280991332594,0.05134432734176147,0.04538144270700412,0.047302691817969277,0.049405147220130424,0.04854438052856015,0.04874616362966777,0.0461358124403656
11,0.05086280528179631,0.05115218056417087,0.05036205993697219,0.048168846577227316,0.049441094367926056,0.047600928786799494,0.04833388132967119,0.04890925453512184,0.046779329070985295,0.0500604628188824
12,0.05115019134518364,0.04525343283647287,0.04860858750019681,0.04942414991418798,0.047998604773120616,0.047374886305200654,0.04550021337319266,0.04680197301354652,0.04745360606598917,0.046782861922246795
13,0.0485824121299886,0.04729218499716331,0.04630961040226278,0.04671132331979125,0.04412347772061978,0.04912951561045624,0.04643776174590085,0.04721376013783364,0.04582481294140942,0.048048265234257544
14,0.05409426382680996,0.05239657269377498,0.04930575271664841,0.047689849782179154,0.04952450047601002,0.04696547520341584,0.047916199430193075,0.04845350247902024,0.04901664423422906,0.04904232413022915
15,0.05001900447508008,0.04970992428917323,0.04990936066869846,0.049697809658374836,0.04723208366688117,0.05020049735450057,0.04709700893426246,0.04734305933353729,0.04782693058401833,0.04741673418841346
16,0.045898911255153024,0.04320956719262377,0.04550600979260085,0.04429768570512182,0.0455947649753894,0.046496916878526674,0.047307499464264845,0.04782153845453396,0.047185615667052705,0.04754749686293254
17,0.05151469221020666,0.05119773233634745,0.04992632123951907,0.0483394224010355,0.05168429740866281,0.047501640767869974,0.04782602548103783,0.0485249393059316,0.04766730909307626,0.048527323344725676
18,0.04631438687891589,0.04489163358984464,0.04797737399485261,0.04536528005002154,0.04451404356604114,0.046885591118494975,0.0492771587071968,0.0480164825561794,0.0476245461277407,0.04586965792589738
19,0.04391362767794495,0.04866789943885436,0.04695535194709643,0.04866767421862536,0.047715015619176675,0.047467936780491764,0.0463693989568583,0.04630993874082627,0.04799477692141296,0.04592784450313655
20,0.04897129071648327,0.04427552539455506,0.04573599333890803,0.04770874903606088,0.04818528691883509,0.048624509412161794,0.04600433136826892,0.04653289422714909,0.04888452507009164,0.05127031236236024
21,0.04846712295054467,0.048275103634428836,0.05222788252336397,0.048558436280037504,0.04819957950059839,0.04719928297052818,0.048103978592769714,0.049454763905305454,0.047695037693482316,0.046930500914476585
22,0.04684985766970968,0.04786428455778365,0.04636925123186473,0.04458885670329806,0.04670096450556063,0.04758876852088617,0.047410225607669325,0.04696961122441077,0.04594903797645914,0.047451381981647195
23,0.050445349816944395,0.050607954944410435,0.05027097957927317,0.05042864866503101,0.0501303698149177,0.04845125000524112,0.05001572149828117,0.04860577295572843,0.047651218104502666,0.048012013000280754
24,0.042024625493014126,0.043813472120391876,0.04854317457923249,0.04697785724232774,0.04864902892412097,0.046295762517716735,0.0465808813413762,0.048746260448634136,0.04748947241355755,0.04858518477380909
25,0.04537714821194229,0.04222493370211009,0.04861966878727361,0.04372449493433346,0.04268742979778044,0.04748518171466067,0.046551093143191495,0.049698206966797824,0.04685753231822555,0.04698724843965839
26,0.04648400752265337,0.047342865445997646,0.04847365086064919,0.05377747846175665,0.049577663522485244,0.045316922305629795,0.047293475969805245,0.04605398948409156,0.04851089021524425,0.048475840920330415
27,0.04818761030350055,0.05238075078588594,0.04678332589569782,0.050741063270606304,0.04859932082347179,0.046473376152695894,0.049357310170119365,0.048353841361184764,0.04936828859114673,0.047416470598348734
28,0.04890210318092968,0.04272195077291739,0.048561233365020384,0.04775076277465967,0.0472609679344029,0.04814423605597952,0.04595376948473982,0.0479663407852765,0.04725787299279764,0.04886300054565191
29,0.049516248133336035,0.04741239594063242,0.04572617393513301,0.046608278228048125,0.04821814940801547,0.047173392129479186,0.0467672977677808,0.046862638542821224,0.04868007433042931,0.04750757496211783
30,0.04665639806221062,0.04675212109091682,0.047460809637267225,0.046298598264415916,0.04495269778136924,0.0478838180302725,0.045924417235533185,0.04723196137310714,0.04655145722831652,0.04644508891931475
31,0.04664229884938423,0.046877455826852085,0.04498864649131118,0.048550024233423306,0.04769712450663469,0.047241652814476655,0.04744384426639067,0.047417253465312996,0.0487368103926509,0.0480773304743599
32,0.04973655283892606,0.044976195356720414,0.04983744127174027,0.04743137673601889,0.045027395313960425,0.04852735884186073,0.04912900542563913,0.0495540067737399,0.04798834651302843,0.0462715075147697
33,0.049010553806314694,0.049256513949237794,0.04987395523663529,0.05044353898843251,0.05058743769598424,0.047205795687354286,0.04657234802963012,0.04666590006427678,0.04908296665522301,0.04816798354425586
34,0.04353228690859308,0.045244328245004954,0.04682429628068385,0.045270134036213126,0.04608039301767235,0.047263443838284784,0.04812722233243431,0.048372370228014015,0.04689101059929479,0.04751555728942231
